total_parameters,total_training_time,test_accuracy
1488650,769.9959716796875,0.7409855723381042
1055879,794.6839599609375,0.8140023946762085
1925514,909.0280151367188,0.8042868375778198
2362378,1044.9530029296875,0.8165063858032227
1641506,1340.632080078125,0.8358373641967773
1364426,1299.1199951171875,0.8296273946762085
1639697,1359.64501953125,0.8273237347602844
490698,487.375,0.7661257982254028
1925514,901.760009765625,0.7970753312110901
1060010,818.863037109375,0.7918669581413269
709130,601.406005859375,0.7975761294364929
1691442,829.2449951171875,0.9064503312110901
490698,487.375,0.7661257982254028
861706,742.8580322265625,0.8846153616905212
1488650,753.9609985351562,0.7847555875778198
765969,653.0810546875,0.7778445482254028
1298570,1372.2340087890625,0.8754006624221802
1488650,729.6380004882812,0.7775440812110901
490698,486.7699890136719,0.7623196840286255
1925514,891.1890258789062,0.7606169581413269
1664778,963.291015625,0.854567289352417
2799242,1536.6669921875,0.8330328464508057
765969,652.1069946289062,0.7666265964508057
1925514,920.281005859375,0.8069911599159241
765969,653.0810546875,0.7778445482254028
709130,615.8560180664062,0.8010817170143127
1233306,1029.3280029296875,0.8723958134651184
765969,683.822021484375,0.7606169581413269
2975370,1876.7249755859375,0.8831129670143127
1060010,801.7030029296875,0.7655248641967773
1143306,1138.205078125,0.8479567170143127
943396,886.6380004882812,0.8487580418586731
1816353,1679.3800048828125,0.8871194124221802
1925514,942.1109619140625,0.7943710088729858
767778,625.9150390625,0.7162460088729858
490698,487.375,0.7661257982254028
1488650,725.56396484375,0.7767428159713745
944561,866.3410034179688,0.875
1517002,1529.8389892578125,0.8779046535491943
490698,500.4630126953125,0.7498998641967773
767259,684.4730224609375,0.7619190812110901
1925514,919.97900390625,0.8024839758872986
767778,661.926025390625,0.5969551205635071
1488650,753.9609985351562,0.7847555875778198
1641506,1400.5789794921875,0.8291265964508057
709130,613.1010131835938,0.7914663553237915
511562,642.33203125,0.8527644276618958
709130,619.675048828125,0.7830528616905212
765969,656.6650390625,0.7745392918586731
1055879,801.70703125,0.8073918223381042
643274,626.5069580078125,0.8528645634651184
1925514,941.177001953125,0.7915664911270142
1060010,824.5970458984375,0.7906650900840759
1925514,890.08203125,0.8125
490698,481.3389892578125,0.7468950152397156
2101642,1089.49609375,0.8814102411270142
643274,626.5069580078125,0.8528645634651184
1925514,939.81201171875,0.7916666865348816
1596234,954.0759887695312,0.9247796535491943
1058845,849.780029296875,0.7926682829856873
490698,496.6000061035156,0.7597155570983887
1058845,821.1920166015625,0.7934695482254028
1664778,1009.5540161132812,0.8323317170143127
2362378,1370.488037109375,0.8361378312110901
1060010,818.863037109375,0.7918669581413269
490698,487.375,0.7661257982254028
490698,489.56201171875,0.7511017918586731
1057555,776.7009887695312,0.8036859035491943
2277770,1369.89697265625,0.8857171535491943
861706,750.8199462890625,0.8767027258872986
1488650,726.8900146484375,0.7275640964508057
