total_parameters,total_training_time,test_accuracy
7188746,1686.593017578125,0.9341946840286255
24332938,3200.7978515625,0.9309895634651184
6751882,1552.3179931640625,0.9296875
3989898,1280.6300048828125,0.9162660241127014
23459210,3006.56201171875,0.9234775900840759
4250634,1218.154052734375,0.9251803159713745
6751882,1551.908935546875,0.9255809187889099
24332938,3203.2509765625,0.9279847741127014
24332938,3200.7978515625,0.9309895634651184
7188746,1680.8189697265625,0.9324919581413269
24332938,3214.56689453125,0.9272836446762085
25206666,3424.073974609375,0.9307892918586731
25206666,3423.9169921875,0.9329928159713745
6751882,1554.590087890625,0.9279847741127014
24332938,3199.76904296875,0.9321914911270142
24332938,3191.875,0.926682710647583
25206666,3467.8798828125,0.9317908883094788
16949130,2771.18310546875,0.9259815812110901
24332938,3279.47412109375,0.9253805875778198
25206666,3423.9169921875,0.9329928159713745
24332938,3202.52294921875,0.9302884340286255
2100932,1027.761962890625,0.9091546535491943
25206666,3423.9169921875,0.9329928159713745
5906570,1875.8919677734375,0.8651843070983887
7188746,1686.593017578125,0.9341946840286255
15037834,2735.61083984375,0.9205729365348816
6944138,1710.1619873046875,0.7088341116905212
24332938,3203.2509765625,0.9279847741127014
25206666,3423.9169921875,0.9329928159713745
23459210,2959.55517578125,0.9081530570983887
6315018,1396.0880126953125,0.9201722741127014
24332938,3214.56689453125,0.9272836446762085
1177268,907.916015625,0.7376803159713745
1727946,977.4429931640625,0.9241786599159241
24332938,3209.62109375,0.9298878312110901
1177268,907.916015625,0.7376803159713745
6751882,1535.9619140625,0.9190705418586731
25206666,3423.9169921875,0.9329928159713745
3989898,1241.280029296875,0.9141626358032227
1072650,628.6279907226562,0.9035456776618958
15037834,2736.921875,0.9240785241127014
25206666,3422.416015625,0.9316906929016113
14164106,2507.9208984375,0.9125601053237915
1177268,899.6619873046875,0.7362780570983887
25206666,3423.9169921875,0.9329928159713745
24332938,3209.76513671875,0.9206730723381042
1177268,898.5250244140625,0.735276460647583
7188746,1686.593017578125,0.9341946840286255
4426762,1425.427978515625,0.9282852411270142
