total_parameters,total_training_time,test_accuracy
1664778,754.0280151367188,0.795973539352417
1227914,587.0919799804688,0.7400841116905212
942106,755.842041015625,0.8001803159713745
1664778,756.1950073242188,0.7898637652397156
650520,540.4320068359375,0.7688301205635071
1664778,756.1950073242188,0.7898637652397156
942106,734.5809936523438,0.8004807829856873
1664778,756.1950073242188,0.7898637652397156
650520,546.9019775390625,0.7616186141967773
1664778,817.4749755859375,0.8019831776618958
942106,733.43896484375,0.7990785241127014
650520,573.0599975585938,0.7752403616905212
942106,716.02099609375,0.8128004670143127
942106,748.7490234375,0.805588960647583
1664778,820.6480102539062,0.7954727411270142
942106,733.43896484375,0.7990785241127014
1664778,817.4749755859375,0.8019831776618958
1664778,820.6480102539062,0.7954727411270142
1232016,918.8509521484375,0.8080929517745972
1815834,1415.83203125,0.8256210088729858
650520,546.9019775390625,0.7616186141967773
942106,733.43896484375,0.7990785241127014
2105744,1623.073974609375,0.8322315812110901
2105744,1598.052978515625,0.8386418223381042
1664778,755.5650024414062,0.7829527258872986
1664778,802.1510009765625,0.8084936141967773
2101642,942.0460205078125,0.8186097741127014
1232016,918.4819946289062,0.8100961446762085
650520,573.7979736328125,0.7707331776618958
1664778,762.7969970703125,0.8045873641967773
650520,573.0599975585938,0.7752403616905212
1232016,918.8509521484375,0.8080929517745972
650520,568.0859985351562,0.7683293223381042
1664778,818.511962890625,0.7958734035491943
1227914,587.0919799804688,0.7400841116905212
1664778,754.0280151367188,0.795973539352417
2538506,1348.5899658203125,0.8336338400840759
1227914,589.5369873046875,0.7916666865348816
2101642,945.9210205078125,0.8211137652397156
942106,734.5809936523438,0.8004807829856873
1664778,755.5650024414062,0.7829527258872986
2101642,980.7429809570312,0.809495210647583
2101642,980.7429809570312,0.809495210647583
2101642,937.364013671875,0.8176081776618958
942106,731.7349853515625,0.8137019276618958
1664778,763.52197265625,0.8096955418586731
2101642,937.364013671875,0.8176081776618958
2538506,1447.3179931640625,0.8308293223381042
1232016,918.4819946289062,0.8100961446762085
650520,568.0859985351562,0.7683293223381042
4869002,1187.626953125,0.7327724099159241
650520,546.9019775390625,0.7616186141967773
942106,748.7490234375,0.805588960647583
1232016,918.8509521484375,0.8080929517745972
2538506,1422.791015625,0.8371394276618958
942106,733.43896484375,0.7990785241127014
1664778,755.5650024414062,0.7829527258872986
1232016,910.8900146484375,0.8213140964508057
1227914,586.3619995117188,0.6977163553237915
2101642,980.7429809570312,0.809495210647583
1664778,817.4749755859375,0.8019831776618958
3995274,975.843017578125,0.680588960647583
1664778,817.4749755859375,0.8019831776618958
2101642,898.7059936523438,0.8282251358032227
1815834,1458.2139892578125,0.8359375
942106,729.427978515625,0.799879789352417
1664778,818.511962890625,0.7958734035491943
650520,573.0599975585938,0.7752403616905212
1232016,918.4819946289062,0.8100961446762085
942106,729.427978515625,0.799879789352417
2101642,964.875,0.8146033883094788
1664778,820.6480102539062,0.7954727411270142
1232016,918.8509521484375,0.8080929517745972
1232016,918.4819946289062,0.8100961446762085
1815834,1456.637939453125,0.8347355723381042
942106,755.6080322265625,0.7947716116905212
650520,573.7979736328125,0.7707331776618958
942106,748.7490234375,0.805588960647583
1232016,918.8509521484375,0.8080929517745972
942106,755.842041015625,0.8001803159713745
942106,748.7490234375,0.805588960647583
942106,734.5809936523438,0.8004807829856873
1227914,589.4400024414062,0.7797476053237915
942106,729.427978515625,0.799879789352417
650520,546.9019775390625,0.7616186141967773
