total_parameters,total_training_time,test_accuracy
21384074,3516.52294921875,0.8978365659713745
30679178,3816.364990234375,0.8928285241127014
22421642,3274.926025390625,0.8704928159713745
20510346,3146.0078125,0.10006009787321091
20510346,3088.7880859375,0.10006009787321091
11215242,2224.419921875,0.8730969429016113
12088970,2476.0400390625,0.8970352411270142
20510346,3150.43798828125,0.8756009340286255
20510346,3149.8720703125,0.8699919581413269
11215242,2183.175048828125,0.8776041865348816
11215242,2224.419921875,0.8730969429016113
29805450,3635.64794921875,0.8699919581413269
20510346,3147.925048828125,0.10006009787321091
21547914,2975.197998046875,0.866286039352417
21547914,2975.972900390625,0.8635817170143127
11215242,2183.175048828125,0.8776041865348816
13126538,2864.8740234375,0.8903245329856873
20510346,3149.8720703125,0.8699919581413269
11215242,2183.175048828125,0.8776041865348816
12088970,2476.0400390625,0.8970352411270142
22421642,3148.43212890625,0.8836137652397156
20510346,3150.43798828125,0.8756009340286255
13290378,2290.7978515625,0.8525640964508057
30679178,3804.755859375,0.8820112347602844
29805450,3562.699951171875,0.8646835088729858
20510346,3149.8720703125,0.8699919581413269
11215242,2229.85009765625,0.10006009787321091
21547914,2906.4599609375,0.8546674847602844
11215242,2229.85009765625,0.10006009787321091
22421642,3140.45703125,0.8836137652397156
20510346,3149.921875,0.10006009787321091
11215242,2229.85009765625,0.10006009787321091
11215242,2183.175048828125,0.8776041865348816
11215242,2224.419921875,0.8730969429016113
12252810,2486.635986328125,0.10006009787321091
21384074,3350.2880859375,0.909254789352417
21547914,2975.197998046875,0.866286039352417
29805450,3635.64794921875,0.8699919581413269
21384074,3343.880859375,0.8941305875778198
21547914,3043.764892578125,0.8768028616905212
20510346,3150.43798828125,0.8756009340286255
12252810,2487.300048828125,0.10006009787321091
22421642,3167.0048828125,0.9049479365348816
21547914,2975.197998046875,0.866286039352417
12252810,2486.635986328125,0.10006009787321091
21547914,2975.972900390625,0.8635817170143127
11215242,2186.406005859375,0.10006009787321091
20510346,3149.8720703125,0.8699919581413269
11215242,2188.64892578125,0.10006009787321091
11215242,2224.419921875,0.8730969429016113
20510346,3149.8720703125,0.8699919581413269
11215242,2224.419921875,0.8730969429016113
20510346,3144.64990234375,0.8767027258872986
21547914,2975.197998046875,0.866286039352417
11215242,2229.85009765625,0.10006009787321091
11215242,2186.406005859375,0.10006009787321091
22421642,3140.45703125,0.8836137652397156
20510346,3150.43798828125,0.8756009340286255
29805450,3638.341796875,0.8656851053237915
11215242,2183.175048828125,0.8776041865348816
